Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews	IMSLP_URL	IMSLP_Exists
Willem Breuker	1944	2010.0	Dutch			https://en.wikipedia.org/wiki/Willem_Breuker	4712.0	https://imslp.org/wiki/Category:Breuker,_Willem	False
Lillian Fuchs	1901	1995.0	American			https://en.wikipedia.org/wiki/Lillian_Fuchs	4711.0	https://imslp.org/wiki/Category:Fuchs,_Lillian	True
John White	1936		English	Cello and Tuba Machine; 175 piano sonatas		https://en.wikipedia.org/wiki/John_White_(composer)	4709.0	https://imslp.org/wiki/Category:White,_John	True
Svante Henryson	1963		Swedish			https://en.wikipedia.org/wiki/Svante_Henryson	4708.0	https://imslp.org/wiki/Category:Henryson,_Svante	False
Claire Delbos	1906	1959.0	French			https://en.wikipedia.org/wiki/Claire_Delbos	4706.0	https://imslp.org/wiki/Category:Delbos,_Claire	True
Cemal Reşit Rey	1904	1985.0	Turkish			https://en.wikipedia.org/wiki/Cemal_Re%C5%9Fit_Rey	4703.0	https://imslp.org/wiki/Category:Rey,_Cemal_Reşit	False
David Borden	1938		American			https://en.wikipedia.org/wiki/David_Borden	4700.0	https://imslp.org/wiki/Category:Borden,_David	False
Boris Asafyev	1884	1949.0	Russian			https://en.wikipedia.org/wiki/Boris_Asafyev	4685.0	https://imslp.org/wiki/Category:Asafyev,_Boris	True
Rudi Stephan	1887	1915.0	German		Romanticism	https://en.wikipedia.org/wiki/Rudi_Stephan	4677.0	https://imslp.org/wiki/Category:Stephan,_Rudi	True
Elena Firsova	1950		Russian / British	The Nightingale and the Rose		https://en.wikipedia.org/wiki/Elena_Firsova	4677.0	https://imslp.org/wiki/Category:Firsova,_Elena	False
Louis W. Ballard	1931	2007.0	American			https://en.wikipedia.org/wiki/Louis_W._Ballard	4675.0	https://imslp.org/wiki/Category:Ballard,_Louis_W.	False
Ludvig Schytte	1848	1909.0	Danish			https://en.wikipedia.org/wiki/Ludvig_Schytte	4663.0	https://imslp.org/wiki/Category:Schytte,_Ludvig	True
Don Gillis	1912	1978.0	American	Symphony No. 5½		https://en.wikipedia.org/wiki/Don_Gillis_(composer)	4659.0	https://imslp.org/wiki/Category:Gillis,_Don	False
Fermo Dante Marchetti	1876	1940.0	Italian			https://en.wikipedia.org/wiki/Fermo_Dante_Marchetti	4657.0	https://imslp.org/wiki/Category:Marchetti,_Fermo_Dante	True
Lucia Dlugoszewski	1931	2000.0	American			https://en.wikipedia.org/wiki/Lucia_Dlugoszewski	4642.0	https://imslp.org/wiki/Category:Dlugoszewski,_Lucia	False
Harald Sæverud	1897	1992.0	Norwegian	Peer Gynt, 9 symphonies		https://en.wikipedia.org/wiki/Harald_S%C3%A6verud	4632.0	https://imslp.org/wiki/Category:Sæverud,_Harald	False
Maria Bach	1896	1978.0	Austrian	Piano Quartet		https://en.wikipedia.org/wiki/Maria_Bach	4614.0	https://imslp.org/wiki/Category:Bach,_Maria	False
